time,lidar_F_data,lidar_R_data,compass_data_1,compass_data_2,compass_data_3,gyro_data_1,gyro_data_2,gyro_data_3,position_data_1,position_data_2,position_data_3,angle_data,motor_L_velocity,motor_R_velocity
0.01,199.077507481353,190.350710398757,1.06895047545082,-0.00741794125511296,-0.000228786468870225,-0.986539180804302,-0.0211363081648095,0.707409045579131,-0.0394372559139978,0.0140992743581549,0.0505857729066444,-0.0117970531194102,-3,-3
0.02,192.579976752534,195.6315838014,0.93209114404438,-0.00288412361311672,-2.40951242608635e-05,0.703135633245869,0.0174812702905509,-0.405009385295,-0.0393680208462921,0.0145748607319532,0.0499639990403515,-0.00393608318202098,-3,-3
0.03,193.602794702133,176.057621057611,0.966286233181877,-0.00223792613940367,1.82094414995282e-05,0.138174642010628,0.00395911772060552,-0.070757902783753,-0.0393558453076311,0.0146624171211436,0.0492421219930601,0.00252953744519259,-3,-3
0.04,198.639987677899,204.52663408594,0.947437431719578,-0.00158995031278978,4.89786848276532e-05,0.0993670049158042,0.00317899839759705,-0.0601237445507886,-0.0393452918255262,0.0147360516662797,0.0485114529898407,0.00161533473827732,-3,-3
0.05,174.597986056213,187.552739889502,0.851214314342511,-0.00134823480559132,2.35665309501625e-05,0.0908607000432339,-0.00252093938112642,-0.0255933197751039,-0.0393421736304062,0.0147866366036384,0.0477767320341309,0.0015068482951946,-3,-3
0.06,209.485117846022,188.171323379179,1.07148759292848,-0.000685565625726808,3.00661658493066e-05,0.0137936303272142,0.000581083969548346,-0.0599275372197204,-0.0393327220189278,0.014842736514076,0.0470294184109655,0.0011123919932394,-3,-3
0.07,191.774625199193,199.937962436049,0.999038383949446,-0.000749340104627247,1.98400086324639e-05,0.0214753657100817,-0.00122838871280316,0.00648084317767675,-0.0393341493023556,0.0148656750715584,0.0462833953563577,0.00136126759765073,-3,-3
0.08,198.02608838247,197.011871543308,0.911307751920585,-0.000335320355443688,3.68437189227493e-05,0.031010067256081,0.00185654603935082,-0.044753963496383,-0.0393267422669313,0.0149030558613517,0.0455399852897179,0.00148805521479142,-3,-3
0.09,181.20611280769,177.324680845044,1.10530718157482,0.00373507244503634,-0.000814494376959713,-0.342121017625178,-0.0877587849069616,-0.377706043776735,-0.0393112084938716,0.0150806892250171,0.0447462870283952,-0.00416108278831954,-3,-3
0.1,198.353857795652,191.236035539361,1.03780032113342,-0.00757260215805186,-0.00103100620615945,-0.522060850445516,-0.0107206786259137,1.12879204664212,-0.0394852083522625,0.014711712879823,0.0439157750420597,-0.010565835461155,-3,-3
