Time Index,L Velocity,R Velocity,X Position,Y Position,Theta,LiDAR F,LiDAR R,Gyro,Compass X,Compass Y
0,-0.0,-0.0,-6.462432246777915e-13,1.1537116657162061e-07,90.0002272741436,1963.402825784465,1948.7702023049683,2.727346908303819e-07,2.53468880197924e-10,1.0689773428851101
1,-0.001,-0.001,2.361267052112398e-12,1.1824094780371608e-07,90.00021734654723,2018.3626096522005,1887.4813302512625,-4.66967970509318e-08,2.163429064329471e-10,0.9320950652795273
2,-0.002,-0.002,2.304660341690898e-12,1.0997497364162445e-07,90.00020297762298,1816.4845123619777,1900.350966853963,-1.967931479077106e-08,1.8655147147030217e-10,0.9662886356188919
3,-0.003,-0.003,2.0365083182099716e-12,9.596514585069604e-08,90.00017730688987,2110.2879849203305,1952.7698442809524,-2.9456903488819378e-08,1.664946052760787e-10,0.9474386566577406
4,-0.004,-0.004,1.677264155743128e-12,7.557727170481865e-08,90.00013921287396,1935.183777770849,1719.0544244843147,-3.997777136494642e-08,1.1399581595374333e-10,0.8512150555131521
5,-0.005,-0.005,1.2063382180660907e-12,4.851969985508742e-08,90.00008851575954,1941.632556912812,2065.8093215356903,-5.010862041854518e-08,7.369940721133654e-11,1.0714878555550253
6,-0.006,-0.006,6.134986385553619e-13,1.47151616655683e-08,90.00002517987883,2063.03946012811,1894.143139117041,-5.987648659169709e-08,1.8065215000776328e-11,0.99903867215451
7,-0.007,-0.007,-1.0383219891524353e-13,-2.5854549216830502e-08,89.99994919523832,2032.8955549606667,1958.9702926540408,-7.936083756385066e-08,-5.427925934387862e-11,0.9113077999288208
8,-0.008,-0.008,-9.458604553888236e-13,-7.319356548629585e-08,89.99986055734954,1830.1282813874245,1795.600997698645,-8.794483028713717e-08,-1.4129306420585583e-10,1.1053149762254726
9,-0.009000000000000001,-0.009000000000000001,-1.912251505417368e-12,-1.2730280732342614e-07,89.99975926333349,1972.4424252123777,1969.166337643611,-9.789610480269796e-08,-2.6465967788691177e-10,1.0378317625362428
10,-0.01,-0.01,-3.0026199693386664e-12,-1.8818247338181493e-07,89.99964531104581,1974.1318733566482,1887.8453197394379,-1.1120745881435989e-07,-3.5580296618648603e-10,0.8958870163534702
11,-0.011,-0.011,-4.2166323330119354e-12,-2.558326063703542e-07,89.99951869881482,1928.714210331065,1947.742111046852,-1.244039461860225e-07,-4.815435512458301e-10,0.9239012619542667
12,-0.012,-0.012,-5.554011406599252e-12,-3.3025322328933404e-07,89.99937942532107,2023.0309946742832,1846.05888220635,-1.4334320092209166e-07,-5.956367837734717e-10,0.9822745887944646
13,-0.013000000000000001,-0.013000000000000001,-7.014547911976272e-12,-4.1144434684975417e-07,89.9992274895196,1955.072494062188,1918.619018314899,-1.576767445839138e-07,-7.507225987122967e-10,1.031993015913606
14,-0.014,-0.014,-8.598072910115731e-12,-4.994060137097911e-07,89.99906289058227,2089.4591487601497,2091.807592127462,-1.617880914034408e-07,-8.662482888817867e-10,0.9990049045262356
15,-0.015,-0.015,-1.0304462910390184e-11,-5.941382768201442e-07,89.99888562785246,1768.789806746027,1873.323861190022,-1.8266376008151864e-07,-1.0746973310894026e-09,1.0325812258438782
16,-0.016,-0.016,-1.2133621527226496e-11,-6.956412060554751e-07,89.99869570080962,1795.1054276493728,1899.9808333632616,-1.8743764803233385e-07,-1.2805765660895748e-09,0.9511985058379515
17,-0.017,-0.017,-1.4085478782150697e-11,-8.039148881103242e-07,89.998493109041,1960.253823661071,1952.5611190751245,-1.945329296136069e-07,-1.3232496114886406e-09,1.0113289941031098
18,-0.018000000000000002,-0.018000000000000002,-1.6159989565576148e-11,-9.18959426159105e-07,89.9982778522193,1841.6851163214353,1889.0846746811987,-2.090868588849103e-07,-1.6512424944372436e-09,0.9784299290662111
19,-0.019,-0.019,-1.8357128845985192e-11,-1.040774939196909e-06,89.99804993008506,1969.1483764108148,2058.111964976143,-2.130786663936274e-07,-1.9899633297044796e-09,0.9344937261617479
20,-0.02,-0.02,-2.067687736523674e-11,-1.1693615614982722e-06,89.99780934243248,1955.4075155532769,1801.3626304212285,-2.3025478902970825e-07,-2.1299983031406366e-09,1.0123409437356492
