Time Index,L Velocity,R Velocity,X Position,Y Position,Theta,LiDAR F,LiDAR R,Gyro,Compass X,Compass Y
0,-0.0,-0.0,2.4882185342082336e-12,4.60556214658403e-07,90.00088274702347,1963.4026833308783,1948.7702023036547,4.960648753067503e-07,9.220588819288445e-10,1.0689773428851101
1,-0.002,-0.002,8.408469721280648e-12,4.6321972097668196e-07,90.0008602809795,2018.3624632875367,1887.481330248808,-5.1717669404527647e-08,8.556184773105534e-10,0.9320950652795273
2,-0.004,-0.004,7.93550690653469e-12,4.339371331291142e-07,90.00080743035659,1816.4843886500894,1900.3509668516615,-2.978683032453636e-08,7.5506508456965e-10,0.9662886356188919
3,-0.006,-0.006,6.97694996936761e-12,3.7946516185521917e-07,90.00070573964777,2110.287859126453,1952.7698442788776,-5.631231552150016e-08,6.797390718448129e-10,0.9474386566577406
4,-0.008,-0.008,5.559061349268146e-12,2.982529463818606e-07,90.00055360623284,1935.1836871396429,1719.0544244828798,-7.915525789591559e-08,4.694485386733627e-10,0.8512150555131521
5,-0.01,-0.01,3.650134969941047e-12,1.9001132917778607e-07,90.00035087790317,1941.6324991115084,2065.809321534605,-9.984774930393245e-08,3.0955474849578823e-10,1.0714878555550253
6,-0.012,-0.012,1.2453639600682256e-12,5.4699736136420984e-08,90.00009752989644,2063.039442764664,1894.1431391167832,-1.1952837798955455e-07,8.845673785775011e-11,0.99903867215451
7,-0.014,-0.014,-1.6547357153126954e-12,-1.0768822038265125e-07,89.99979355184492,2032.8955899969724,1958.9702926546943,-1.5855031978503632e-07,-2.0066888452879696e-10,0.9113077999288208
8,-0.016,-0.016,-5.049127389518231e-12,-2.971545927932251e-07,89.99943893647033,1830.1283677646625,1795.6009977002293,-1.757774067593851e-07,-5.481709702903685e-10,1.1053149762254726
9,-0.018000000000000002,-0.018000000000000002,-8.936973292753437e-12,-5.137009111144675e-07,89.99903367808172,1972.4425859426608,1969.1663376465858,-1.957199431922197e-07,-1.0396753505441951e-09,1.0378317625362428
10,-0.02,-0.02,-1.3317655971881084e-11,-7.573286823908676e-07,89.99857777215797,1974.1321104996418,1887.8453197436259,-2.2237064585236868e-07,-1.4056548506284981e-09,0.8958870163534702
11,-0.022,-0.022,-1.8190762400083563e-11,-1.0280394750691868e-06,89.99807121509922,1928.7145249627663,1947.7421110527057,-2.487854141779814e-07,-1.908507095107573e-09,0.9239012619542667
12,-0.024,-0.024,-2.3556061262827374e-11,-1.325834946837301e-06,89.99751400403817,2023.0314205762834,1846.0588822134969,-2.8668021671202237e-07,-2.3654976692917675e-09,0.9822745887944646
13,-0.026000000000000002,-0.026000000000000002,-2.941345186483575e-11,-1.6507168614371404e-06,89.99690613669092,1955.0730069563167,1918.619018324141,-3.1536005882389443e-07,-2.9855515951892296e-09,1.031993015913606
14,-0.028,-0.028,-3.576296176517266e-11,-2.0026871005787705e-06,89.99624761123827,2089.4598144598162,2091.8075921396826,-3.235908746381803e-07,-3.448436406114572e-09,0.9990049045262356
15,-0.03,-0.03,-4.260472373794665e-11,-2.381747672905443e-06,89.99553842623112,1768.7904777075225,1873.3238612030348,-3.6534857817441637e-07,-4.281446128208892e-09,1.0325812258438782
16,-0.032,-0.032,-4.993895582976714e-11,-2.7879007205924844e-06,89.99477858051516,1795.1062257117792,1899.980833378709,-3.748983016884294e-07,-5.104565214045396e-09,0.9511985058379515
17,-0.034,-0.034,-5.776595355348876e-11,-3.22114852426697e-06,89.99396807317092,1960.2548319449872,1952.5611190934662,-3.890888799196051e-07,-5.277034617756833e-09,1.0113289941031096
