time,lidar_F_data,lidar_R_data,compass_data_1,compass_data_2,compass_data_3,gyro_data_1,gyro_data_2,gyro_data_3,position_data_1,position_data_2,position_data_3,angle_data,motor_L_velocity,motor_R_velocity
0.01,199.077507481353,190.350710398757,1.06895047545082,-0.00741794125511296,-0.000228786468870226,-0.986539180804302,-0.0211363081648095,0.707409045579131,-0.0394372559139978,0.0140992743581549,0.0505857729066444,-0.0117970531194102,-5,-4
0.02,192.419018844675,195.639443815955,0.932084761277989,-0.0038820565774822,-0.00264930283933398,0.524587341049885,-0.236115029698225,-0.308526733824575,-0.0395039164985427,0.0145339557317527,0.0494762620942406,-0.00641937700887417,-5,-4
0.03,193.3112131027,176.062836297711,0.966272435137153,-0.00258105595681672,-0.00497442724612416,0.282958261368717,-0.261239536561041,-0.14180441589428,-0.0396213245137008,0.0146480394980811,0.0483152697931421,-0.0059482665615875,-5,-4
0.04,198.20412797573,204.53387287076,0.947408534952403,-0.00148816089704351,-0.00775258106252348,0.218804899736645,-0.295460408821579,-0.104528815480104,-0.0397441170082941,0.0147395406000156,0.0471313957176688,-0.00802904044796018,-5,-4
0.05,174.088025555332,187.558670006514,0.851167643923284,-0.000709541720707163,-0.00920398662705808,0.155809624745184,-0.286296733282956,-0.0732494041105093,-0.0398666087133987,0.0148113209619469,0.0459272247318979,-0.0108359614074636,-5,-4
0.06,208.707006365606,188.152698102445,1.07137309864538,0.00302345429068828,-0.0130810658670971,-0.252814783104221,-0.379917721855803,-0.36226665438796,-0.0399915073643788,0.0149948456034924,0.0446593756035507,-0.014635784725111,-5,-4
0.07,190.869574530375,200.046480045733,0.99885943005116,-0.00765609378551244,-0.0168559290786549,-0.367905717252465,-0.285831269652212,1.18022407921735,-0.0402910474823343,0.014609235121905,0.0433451626162913,-0.0195084660923694,-5,-4
0.08,196.960529719412,197.02717256687,0.911166841821257,9.89314922674141e-05,-0.0170914236392601,0.61501827768269,-0.0353946397456629,-0.815940201949954,-0.040173353623455,0.0149429829588934,0.0422200967991237,-0.0176810689013346,-5,-4
0.09,180.146432962085,177.293248482837,1.10508569526496,-0.000646004638059465,-0.0201794446808685,-0.843243442254971,-0.28085070141332,0.0834683225143694,-0.0400651629262774,0.0149257749861963,0.0411460844822429,-0.0212909884691015,-5,-4
0.1,197.1420725176,191.080745231535,1.03755419736898,-0.000130514852501642,-0.0253388397949469,0.429368377643841,-0.273967504228769,-0.0590729400725401,-0.0401796638224677,0.0151099504094788,0.0399825576094808,-0.0231977044777493,-5,-4
0.11,188.605872556406,191.246902411018,0.895586178509649,0.000257347199976959,-0.026126153688234,0.432954794078121,-0.278308729499824,-0.0555013726942124,-0.0402934947330995,0.0143124581147827,0.0388180491127585,-0.0260415916903866,-5,-4
0.12,194.171833286819,186.846967117043,0.923522340186634,0.000943981880866233,-0.0289182314457864,0.304717326536982,-0.272211123635706,-0.0861064454175864,-0.0403977161648311,0.0147543687090543,0.0376383400755187,-0.0291441919098092,-5,-4
0.13,183.618810287272,196.009312457419,0.981766887904814,-0.00391027087987726,-0.0310528701035299,-0.513957079545483,-0.349048539327559,0.505751155520392,-0.0405198156305,0.014624397528917,0.0364617320797914,-0.0321562562861384,-5,-4
0.14,190.441403625683,189.383082602127,1.0313747919428,0.000930598901706205,-0.0341297774181557,0.437870603970089,-0.283275692325929,-0.47043875907263,-0.0405551676621309,0.0148631932642819,0.0353017674942578,-0.034953418655943,-5,-4
0.15,207.224951765623,202.369229485148,0.998212310135571,-0.00262521885448278,-0.037339938988701,-0.951913922534231,-0.516242684126735,0.39626282575521,-0.0405998824265371,0.0147440516589583,0.0341928986755529,-0.0402063656771506,-5,-4
0.16,185.229990734034,171.291558019388,1.03165232654397,5.84579861117422e-05,-0.0416320664183708,0.798308742095367,-0.284144909318205,-0.318471420274337,-0.0406527179156783,0.0149590398690061,0.0330846270254929,-0.0424825198485992,-5,-4
0.17,187.537782908378,173.834887335299,0.950118807637957,-0.00460531766447598,-0.0473932954905694,-0.600465604377521,-0.501398463986221,0.524644175119299,-0.0407133049223088,0.0147675579677782,0.0320245328577894,-0.047788527878622,-5,-4
0.18,192.357091317277,189.74825345744,1.00996822982165,0.00599350856450703,-0.0461362735590533,0.184010175851494,-0.408760131720271,-1.04623756085345,-0.0407253657149356,0.0152110819987194,0.0308451269766233,-0.0519022387949653,-5,-4
0.19,185.672016245702,178.329461868243,0.976975566109389,0.00053132503236609,-0.0533137371405168,-0.0243086210236235,-0.296312991222903,0.56056641116536,-0.0408967592689011,0.0151145322860928,0.0295866784811677,-0.0545623854879408,-5,-4
