time,lidar_F_data,lidar_R_data,compass_data_1,compass_data_2,compass_data_3,gyro_data_1,gyro_data_2,gyro_data_3,position_data_1,position_data_2,position_data_3,angle_data,motor_L_velocity,motor_R_velocity
0.01,196.166867999202,200.007453081527,1.07034519386977,-0.0068570308835232,-0.000223538934177202,-0.875526934665259,-0.0205122790946066,0.734693294380917,-0.0394372559139978,0.0140992743581549,0.0505857729066444,-0.0117970531194102,-5,-4
0.02,195.158177563084,183.417101952511,0.964012849233503,-0.00392508623333146,-0.00243371534223743,0.494534928630322,-0.238561571455005,-0.341574305806988,-0.0395039164985427,0.0145339557317527,0.0494762620942406,-0.00641937700887391,-5,-4
0.03,188.784138492179,183.618599263914,0.930319931106437,-0.00258219378236331,-0.00490576597469741,0.283795542342739,-0.236252820107907,-0.125869742639164,-0.0396213245137008,0.0146480394980811,0.0483152697931421,-0.00594826656158712,-5,-4
0.04,199.820521590493,204.463964770865,0.897274628283825,-0.00141079964198215,-0.007834087291051,0.229296842351801,-0.249343369827559,-0.116913135329029,-0.039744117008294,0.0147395406000156,0.0471313957176688,-0.00802904044795983,-5,-4
0.05,179.452048855665,175.274922823953,0.987343224102736,-0.000614554530115183,-0.0105841054228474,0.152997390050319,-0.249404948238578,-0.0801170342260182,-0.0398666087133987,0.0148113209619469,0.0459272247318979,-0.0108359614074634,-5,-4
0.06,183.628257789425,204.308004004945,1.11674194971176,0.00306876007489323,-0.0150136959315516,-0.228113952785506,-0.401395711658986,-0.38102966995309,-0.0399915073643788,0.0149948456034925,0.0446593756035507,-0.0146357847251112,-5,-4
0.07,190.340303935207,190.356005962555,0.962986644481557,-0.00782758369502108,-0.0173983083027739,-0.443889480941305,-0.290080824954355,1.19823012961353,-0.0402910474823343,0.014609235121905,0.0433451626162913,-0.0195084660923692,-5,-4
0.08,196.696176055962,188.541666513073,1.0332185902501,8.41221844377869e-05,-0.0173862714785736,0.614018185258537,-0.0325288988029321,-0.796116922181979,-0.0401733536234549,0.0149429829588934,0.0422200967991236,-0.017681068901335,-5,-4
0.09,180.186408290058,185.133923172257,0.944926819468909,-0.000591383720622326,-0.0208812794102608,-0.82123857873751,-0.277352509130963,0.0925778625518507,-0.0400651629262773,0.0149257749861964,0.0411460844822429,-0.021290988469102,-5,-4
0.1,192.702145673148,186.252409488063,0.946287691506752,-0.000125931930501197,-0.0239003315655801,0.45992836262042,-0.270775032178844,-0.0552965815988419,-0.0401796638224677,0.0151099504094788,0.0399825576094808,-0.02319770447775,-5,-4
0.11,184.831873171132,188.451037031658,1.02090127890414,0.000260769960963813,-0.0241390501354862,0.465416095283231,-0.289609187722883,-0.052558046489385,-0.0402934947330996,0.0143124581147828,0.0388180491127584,-0.0260415916903875,-5,-4
0.12,185.828916128202,191.535102630853,1.02239977903183,0.00107613888496849,-0.0296917980929252,0.261485325923684,-0.283977445199077,-0.0872422789454302,-0.0403977161648312,0.0147543687090543,0.0376383400755186,-0.0291441919098103,-5,-4
0.13,197.477839903476,185.327071600005,1.00975879758454,-0.00389338074998504,-0.0313519298924836,-0.501209979943895,-0.346643403265671,0.466741900133984,-0.0405198156305001,0.014624397528917,0.0364617320797914,-0.0321562562861396,-5,-4
0.14,179.494359446168,187.266001285399,1.05606838718796,0.00102888543869569,-0.036975698839442,0.449185283409989,-0.256600387831731,-0.503083940760504,-0.040555167662131,0.0148631932642819,0.0353017674942577,-0.0349534186559442,-5,-4
0.15,188.676261507435,205.621590910249,0.965180593487156,-0.00270515250905153,-0.0442474926282714,-0.917696538385402,-0.501855972306422,0.43473748860596,-0.0405998824265372,0.0147440516589583,0.0341928986755529,-0.0402063656771515,-5,-4
0.16,184.942857298203,186.200904300321,1.02014993611819,6.12619495051601e-05,-0.0436829190729373,0.751220119300259,-0.287009983788876,-0.299656492410639,-0.0406527179156784,0.0149590398690061,0.0330846270254929,-0.0424825198486004,-5,-4
0.17,193.5067449286,198.024036034004,1.04708590879602,-0.00529663617196905,-0.0490590472886589,-0.598946461940163,-0.548822050003834,0.534487589114931,-0.0407133049223089,0.0147675579677782,0.0320245328577894,-0.047788527878623,-5,-4
0.18,183.374829384914,187.498312730583,1.01507463692653,0.0064885827795907,-0.0516295290474782,0.168247860119953,-0.407575073497666,-1.02940630420522,-0.0407253657149357,0.0152110819987194,0.0308451269766233,-0.0519022387949666,-5,-4
0.19,180.94359724394,199.737073384368,1.00459720004702,0.000519627796914054,-0.0525968243029709,-0.021931791143212,-0.289386118850459,0.589374183815873,-0.0408967592689012,0.0151145322860928,0.0295866784811677,-0.0545623854879419,-5,-4
0.2,183.407683578516,183.455027853376,0.980100715514178,-0.011749947850448,-0.0564174421675196,-0.208356348007882,-0.26947313073465,1.18688541791913,-0.0411401493833211,0.0142134392144769,0.0283038179018255,-0.0585894391499229,-5,-4
0.21,186.313440888551,190.042582947848,1.03284239604958,-0.00224650663352423,-0.0642610898482042,0.565089262417302,-0.117904661084444,-0.960390010511148,-0.0410143706966344,0.0147862585940704,0.0271896032304149,-0.0585820683367024,-5,-4
0.22,193.904595344221,193.308799845254,1.07337116033968,0.00310484091414041,-0.0648667926937961,-0.306366415913001,-0.282721515512981,-0.472415313411014,-0.0409914508225736,0.0150288108538843,0.0260180845817287,-0.0614778108734755,-5,-4
0.23,175.683961760456,169.088124211786,0.994411724830169,-0.00645328627437269,-0.0666080012868852,-0.499860087674339,-0.192816179336831,1.08532808915065,-0.0411679147338529,0.0147515251428707,0.0247854251082743,-0.0639473201393835,-5,-4
0.24,194.041322063853,187.616985426396,1.05225068166501,0.00438682251655082,-0.0639724562861022,1.59225364268399,0.309409071457749,-1.2532417328252,-0.040972251857404,0.0143947340409254,0.0237995755781943,-0.0607555977419469,-5,-4
0.25,173.625237691757,183.531236379575,0.95104208336867,-0.00111005436671741,-0.0584049672096087,-0.193751420845119,-0.179318855668938,0.637798996044524,-0.0410792812244317,0.0145882559634879,0.0226302204654309,-0.0620018671968895,-5,-4
0.26,174.692796765664,171.891787481501,0.953159903965524,-0.00176782205182298,-0.0635717542479949,-0.128398887747665,-0.22204806431685,0.0734499759779756,-0.0411305910967458,0.014636319918439,0.0213677934128773,-0.064190993774987,-5,-4
0.27,181.960852121845,193.17134113409,0.994963226433699,0.00202148555475993,-0.0665271695686316,-0.387782789265186,-0.291147181808115,-0.334185016337469,-0.0411464294670547,0.0148446649767998,0.0200690862119572,-0.0669190870426566,-5,-4
0.28,166.560076119684,191.302680139141,0.9891564891535,-0.00981758525293826,-0.0727838461200973,-0.794547857802604,-0.236371234182254,1.2315330864067,-0.0413689133365223,0.0145196630809135,0.0187343285876318,-0.0702166529143039,-5,-4
0.29,184.184808058731,186.020223727487,1.0238065290068,-0.00187128675142455,-0.0682897947434124,0.570472265687444,0.0464110264867212,-0.831839894104468,-0.0411624053249451,0.0148616718981411,0.017601019235675,-0.0689228957208802,-5,-4
0.3,180.003383013109,196.234057692134,0.983367307437668,0.00408639322781123,-0.0668809893690958,-0.334557838422926,-0.183446076406522,-0.487560191668827,-0.04108448325354,0.015099234706588,0.0163392676446168,-0.0708502567715846,-5,-4
0.31,168.303251734217,195.735468449738,0.975788889448537,-0.000199943949044933,-0.076886914424339,-0.198351868720042,-0.319620816676542,0.418470916349701,-0.0412115988060357,0.0152328186514489,0.0150647474499153,-0.0737234137183448,-5,-4
0.32,182.6960414438,200.392138567568,0.87329214545757,0.00621505795625416,-0.0759546317674339,0.760023195598432,-0.0224185429979259,-0.683142226961187,-0.0411517737800995,0.0148380913513252,0.0139353796590403,-0.074077607636063,-5,-4
0.33,177.942289955357,185.595050819761,0.918339526048888,-0.00762858611549628,-0.0749003017004869,-0.853241732634896,-0.0339270156101559,1.45160443816695,-0.0412955365179327,0.0146070701934918,0.012776028241909,-0.0749223755745314,-5,-4
0.34,168.962291190511,186.633726133324,0.985720137461414,-0.00114336684883362,-0.0768860548127348,0.670996505819954,0.0606362368842366,-0.754062960248308,-0.0410915638632103,0.014909215779005,0.0116566062692855,-0.0734988101988605,-5,-4
0.35,182.965950757854,191.393518256998,0.940473647185272,3.10404809806414e-05,-0.0833299343258633,0.0256982672165529,-0.273231379636292,-0.127786161895128,-0.0411111441572618,0.0149640727068798,0.0104383409713137,-0.0760678634811748,-5,-4
0.36,181.608292960242,189.147840819888,0.957453847442748,-0.000207463906724136,-0.0748274233291866,0.0115798124276255,-0.275730879035626,0.0235476940327307,-0.0411599863243202,0.0149620988783937,0.00919827406925338,-0.0788453202205324,-5,-4
0.37,170.089814924082,203.618835495089,1.01731165487678,0.000278759579941811,-0.0841946141139873,-0.0111780712615926,-0.276383232186921,-0.0481034730558728,-0.0411967546187474,0.0149863552089996,0.00795476464390148,-0.0816315104731109,-5,-4
0.38,162.152944545046,198.536188578728,0.969160123500764,-0.000477078324449103,-0.0829272912930645,-0.034290003250434,-0.293104603292852,0.0803447556786111,-0.0412472584213239,0.0149585609633814,0.00670758283339086,-0.0844143721429411,-5,-4
0.39,188.306943165667,205.53043240897,1.04655682392598,-0.000190476543994435,-0.0902865710887923,-0.0215233009889697,-0.278192812025997,-0.0317247702316515,-0.0412773254566057,0.0149739163676295,0.00546252729745896,-0.0871924602552554,-5,-4
0.4,170.214677891081,178.071561955917,1.0330292213974,8.90804683595069e-06,-0.0929824200552044,0.0736841521448025,-0.259847119956454,-0.0280743172082903,-0.0413056028667038,0.0149870574591233,0.0042322780462762,-0.0899514317635514,-5,-4
0.41,175.651566196231,193.558222378313,0.989544098143008,3.70713150587173e-05,-0.0968627666837501,-0.042650625313715,-0.274838323606914,0.000593827138533383,-0.0413315281803534,0.0149891372675935,0.00298480352658738,-0.0927192875013624,-5,-4
0.42,176.184500471319,181.710582810094,1.02239377703981,-9.51894360629603e-05,-0.0980091293622352,0.0418224828718203,-0.273408257629191,0.0099581182450143,-0.0413591212160365,0.0149871210443393,0.00174794754904695,-0.0955027227554055,-5,-4
0.43,180.051470519476,176.362587673169,0.971175830827203,-0.00795516395319685,-0.0968925063944351,-0.894265170126788,-0.237996094659196,0.932156631711057,-0.0414646268916189,0.0146374150674984,0.000461379951685423,-0.0986397308776265,-5,-4
0.44,191.572350839105,196.148576318798,0.914351388913746,-0.00158036392415062,-0.101386843049665,0.689573333214716,-0.251137323773665,-0.732682828104916,-0.041380596960233,0.0149291956145339,-0.00063922981313743,-0.100307419191906,-5,-4
0.45,184.809605180573,191.694770705468,1.02718671802193,0.00375263072480754,-0.112187673082936,-0.176436391587354,-0.456342028539763,-0.506097592062589,-0.0414185478057202,0.0151298751781913,-0.00186179804117421,-0.104916217498114,-5,-4
0.46,177.015634609457,195.081434046861,0.914082084808747,-0.000304569071986811,-0.106798555454073,0.0916852308608167,-0.26583941281933,0.3748932812169,-0.0414986264773641,0.015077406172382,-0.0030960136886139,-0.10769057093267,-5,-4
