Time Index,L Velocity,R Velocity,X Position,Y Position,Theta,LiDAR F,LiDAR R,Gyro,Compass X,Compass Y
0,-0.0,-0.0,8.079391442475251e-07,-5.000413350155983e-06,89.97117908492388,206.674018125826,209.5450726264726,-0.02328513641075483,-2.165333803029139e-05,1.0689773410385304
1,-0.00025,-0.001,8.082727301970787e-07,-5.000600863908772e-06,89.97117781391032,212.45925968298442,202.9548747647449,-7.994860923261844e-06,-2.2610063263860474e-05,0.9320950636680237
2,-0.0005,-0.002,8.088686729619413e-07,-5.00067296885405e-06,89.97117707747317,191.20892955935832,204.3387058717166,-1.2032510904114422e-05,-2.1453575947184763e-05,0.966288633945613
3,-0.00075,-0.003,8.097263134623344e-07,-5.000628703817969e-06,89.97117687937029,222.13561565122455,209.9751412556391,-1.7475835268366152e-05,-2.2167505290690856e-05,0.9474386550132953
4,-0.001,-0.004,8.108462454066087e-07,-5.0004677844446566e-06,89.97117721908087,203.70358979828922,184.84446413408003,-2.068955614644189e-05,-1.9585802789734614e-05,0.8512150540312141
5,-0.00125,-0.005,8.12228943068271e-07,-5.000189983176556e-06,89.97117809589486,204.38240760979835,222.1299171191567,-2.3598132760007994e-05,-2.051251958168908e-05,1.071487853682557
6,-0.0015,-0.006,8.138747850671996e-07,-4.9997951178902544e-06,89.97117950891419,217.1620821681791,203.67119745705472,-2.648552068535545e-05,-2.1909909268671935e-05,0.9990386704007977
7,-0.00175,-0.007,8.157840734019468e-07,-4.999283042790917e-06,89.97118145705369,213.9890372040238,210.64185528306487,-3.360952006024227e-05,-2.185864890234458e-05,0.9113077983207684
8,-0.002,-0.008,8.179570486757312e-07,-4.9986536411437965e-06,89.97118393904168,192.6451086214005,193.075273580581,-3.6085618458858186e-05,-2.233169603493601e-05,1.1053149742635213
9,-0.0022500000000000003,-0.009000000000000001,8.203939022747393e-07,-4.997906819452502e-06,89.97118695342024,207.62554450426356,211.73820325488236,-3.9221783614896505e-05,-2.4727968887000604e-05,1.0378317606818515
10,-0.0025,-0.01,8.230947861114163e-07,-4.997042502797797e-06,89.97119049854547,207.8033785148351,202.99401222547493,-4.3735603678156746e-05,-2.279930263299878e-05,0.8958870147409606
11,-0.00275,-0.011,8.260598204173865e-07,-4.996060631114879e-06,89.9711945725874,203.0225684541446,209.43452375416967,-4.8206513937672915e-05,-2.289723852925538e-05,0.9239012602779797
12,-0.003,-0.012,8.292890999784825e-07,-4.994961156207928e-06,89.97119917352987,212.95064866114225,198.50084883205636,-5.487961224901942e-05,-2.208426071832128e-05,0.982274586996732
13,-0.0032500000000000003,-0.013000000000000001,8.327826991216423e-07,-4.993744039375261e-06,89.97120429917031,205.79711817203452,206.3030095592201,-5.976652908004419e-05,-2.246285210170074e-05,1.031993014007135
14,-0.0035,-0.014,8.365406757045559e-07,-4.992409249485533e-06,89.97120994711933,219.94307868132282,224.92542654324413,-6.081053659924271e-05,-2.1456630843824338e-05,0.9990049026621317
15,-0.00375,-0.015,8.405630743079902e-07,-4.990956761466783e-06,89.97121611480031,186.18840579048862,201.4325645842164,-6.816510459110732e-05,-2.247488362898551e-05,1.0325812238964591
16,-0.004,-0.016,8.44849928787134e-07,-4.9893865550782596e-06,89.97122279944881,188.95846718145734,204.29890380520047,-6.951355205038011e-05,-2.2970228119191504e-05,0.9511985040236134
17,-0.00425,-0.017,8.494012643162942e-07,-4.987698613930294e-06,89.97122999811204,206.34250425714967,209.95269455268723,-7.175494315712608e-05,-2.062468562813948e-05,1.0113289921509032
18,-0.0045000000000000005,-0.018000000000000002,8.542170990208375e-07,-4.9858929247088846e-06,89.97123770764809,193.86158319959887,203.12727376445005,-7.67558963972874e-05,-2.2608600345622787e-05,0.9784299271536343
19,-0.00475,-0.019,8.592974452845212e-07,-4.983969476545988e-06,89.9712459247253,207.27876258650392,221.3022409002022,-7.789023712086957e-05,-2.4158120838612413e-05,0.9344937243108354
20,-0.005,-0.02,8.646423107961819e-07,-4.981928260525126e-06,89.97125464582138,205.83235068371602,193.6948002720699,-8.38500436015382e-05,-2.3112485124845492e-05,1.0123409417027502
